10,10,,247141,,52711,103619
156330,638961,,247141,,,103619
193621,638961,,284432,,,140910
230912,638961,,321723,,,178201
268203,638961,,359014,,,215492
305494,638961,,396305,,,252783
342785,638961,,433596,,,290074
380076,638961,,470887,,,327365
417367,638961,,508178,,,364656
454658,638961,,545469,,,401947
491949,638961,,582760,,,439238
529240,638961,,620051,,,476529
566531,638961,,657342,,,513820
556452,873796,,647263,,,503741
500440,873796,,591251,,,447729
444428,873796,,535239,,,391717
388416,873796,,479227,,,335705
332404,873796,,423215,,,279693
276392,873796,,367203,,,223681
220380,873796,,311191,,,167669
164368,873796,,255179,,,111657
,,,,,,
,,,,,,
,,,Updated 2-24-22 for new tester,,,
